Municipio,Tipo de riesgo,Alta,N/A
Sincelejo,"Inundaciones, vientos huracanados, incendios de cobertura vegetal",N/A,Media
Buenavista,"Vientos, sequias",Alta,N/A
Caimito,"Inundaciones, vientos huracanados, Sismo",Alta,N/A
Coloso,"Vientos huracanados, sequias deslizamientos",N/A,Media
Corozal,"Inundaciones, vientos fuertes.",N/A,Media
Coveñas,"Vientos,Oleaje",N/A,Media
Chalán,"Vientos fuertes, sequias, deslizamientos",N/A,Media
El Roble,"Sequias, vientos fuertes, inundaciones",N/A,Media
Galeras,"Inundaciones ,vientos fuertes, sequias",Alta,N/A
Guaranda,"Inundaciones, Sismo, vientos fuertes, tormentas eléctricas",Alta,N/A
La Unión,"Vientos fuertes, sequias",N/A,Media
Los Palmitos,"Viento, inundaciones, accidentes",N/A,Media
Majagual,"Inundaciones,Sismo, vientos fuertes, tormentas eléctricas",Alta,N/A
Morroa,"Inundaciones, vientos fuertes",N/A,Media
Ovejas,"Deslizamientos, Vientos fuertes, sequias",Alta,N/A
Palmito,Vientos fuertes,N/A,Media
Sampués,"Vientos fuertes, Inundaciones",Alta,N/A
San Benito Abad,"Inundaciones, Sismo, vientos",Alta,N/A
San Juan De Betulia,"Sequias, vientos",N/A,Media
San Marcos,"Inundaciones, Sismo",Alta,N/A
San Onofre,"Vientos ,inundaciones, oleaje",Alta,N/A
San Pedro,"Sequia, vientos fuertes",N/A,Media
San Luis De Sincé,"Incendios, vientos fuertes, sequias",Alta,N/A
Sucre,"Inundaciones, vientos fuertes, Sismo",Alta,N/A
Santiago De Tolú,"Vientos ,inundaciones, Oleaje",N/A,Media
Tolú Viejo,"Vientos, inundaciones, deslizamientos",N/A,Media
